2001,@ajoyvaldez2856,13 hours ago,Mapagpalang araw Ng linggo mga kapatid ❤❤ pagbati Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzoWSE4D-YD8eZoEW14AaABAg,UgzoWSE4D-YD8eZoEW14AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3038,@godoybenidictjohn7654,1 day ago,# Best INCMV / #BENGUET#NORCAR❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwLjPaEb__VBv_2KEp4AaABAg,UgwLjPaEb__VBv_2KEp4AaABAg,UCB42ziNyHQV4YV2qJwFrUiQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3039,@godoybenidictjohn7654,1 day ago,# Best INCMV / #BENGUET#NORCAR❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy5zQyW0yr3p2eH1yZ4AaABAg,Ugy5zQyW0yr3p2eH1yZ4AaABAg,UCB42ziNyHQV4YV2qJwFrUiQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3040,@mernelantonio776,1 day ago,Let's get power to the top😍 Go Benguet 🌟✨ Happy Saturday,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgynBzFykSwyho0b2S94AaABAg,UgynBzFykSwyho0b2S94AaABAg,UCuvU9-9a12fDWd5vOsCsjQA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3041,@godoybenidictjohn7654,1 day ago,# Best INCMV / #BENGUET#NORCAR❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgytnVECtCbqXmEDkpJ4AaABAg,UgytnVECtCbqXmEDkpJ4AaABAg,UCB42ziNyHQV4YV2qJwFrUiQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3042,@godoybenidictjohn7654,1 day ago,# Best INCMV / #BENGUET#NORCAR❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7W2bX5B46eECWhdJ4AaABAg,Ugy7W2bX5B46eECWhdJ4AaABAg,UCB42ziNyHQV4YV2qJwFrUiQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3043,@godoybenidictjohn7654,1 day ago,# Best INCMV / #BENGUET#NORCAR❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0ZvU9Vo53ChHKGWd4AaABAg,Ugw0ZvU9Vo53ChHKGWd4AaABAg,UCB42ziNyHQV4YV2qJwFrUiQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3044,@godoybenidictjohn7654,1 day ago,Happy Saturday from  Norcar 😊 /  / # Best INCMV,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzu9MoYkhMvL9V37Ft4AaABAg,Ugzu9MoYkhMvL9V37Ft4AaABAg,UCB42ziNyHQV4YV2qJwFrUiQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3045,@godoybenidictjohn7654,1 day ago,Happy viewing po from Norcar 😊 /  / # Best INCMV,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzmHZHdjsFff2uZREx4AaABAg,UgzmHZHdjsFff2uZREx4AaABAg,UCB42ziNyHQV4YV2qJwFrUiQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3046,@PamangelaGarlitos,1 day ago,"Good food, good day❤Locale of Baguio City",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwVl6PwPLzrq0HuBEZ4AaABAg,UgwVl6PwPLzrq0HuBEZ4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3047,@PamangelaGarlitos,1 day ago,"Lunch break, feel great❤Locale of Baguio City",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx0f3ruDDVuxpG4sot4AaABAg,Ugx0f3ruDDVuxpG4sot4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3048,@PamangelaGarlitos,1 day ago,"Afternoon energy, let's goo! ❤Locale of Baguio City",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwHAl839MB7qDCh6lV4AaABAg,UgwHAl839MB7qDCh6lV4AaABAg,UCeN6hRYwO2TxD9VFxxav8eg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3049,@dynaPascual-q9r,1 day ago,"Happy viewing po,Lokal ng Baguio city",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzhboDLCTRApbGz7PN4AaABAg,UgzhboDLCTRApbGz7PN4AaABAg,UCKtTRqTZM7ZZCn4KfJ8Sgkg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3050,@josiepiad8710,1 day ago,Pagbati po sa mga kumakain habang nanonood po. Mula sa Local ng Baguio City Benguet💖,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxDLrVFBOaYOJC7t-94AaABAg,UgxDLrVFBOaYOJC7t-94AaABAg,UCnSXZrYBBaeMVz-qXQnzhJg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3051,@dynaPascual-q9r,1 day ago,Happy viewing po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzaKUxF6YoSpJJHn6h4AaABAg,UgzaKUxF6YoSpJJHn6h4AaABAg,UCKtTRqTZM7ZZCn4KfJ8Sgkg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3052,@josiepiad8710,1 day ago,Hello po sa mga nanonood habang kumakain po🤗 /  / Baguio City Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzTv1wIosCSNGd-u0J4AaABAg,UgzTv1wIosCSNGd-u0J4AaABAg,UCnSXZrYBBaeMVz-qXQnzhJg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3053,@josiepiad8710,1 day ago,Magandang tanghali po sa mga kapatid❤ /  / Baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0r4xfmkG5IqctvQh4AaABAg,Ugw0r4xfmkG5IqctvQh4AaABAg,UCnSXZrYBBaeMVz-qXQnzhJg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3054,@CassieDdyLazaro,1 day ago,Maligayang panonood habang kumakain 🇮🇷 / Happy Lunches 🥰 / Mula Lokal sa Lokal ng Gibraltar-Ucab GWS 💚⚪❤️  / God's Love is great 🥰,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4ahcW0LIuAEqynPp4AaABAg,Ugz4ahcW0LIuAEqynPp4AaABAg,UCrWbtnux6VuFP1IxFAREF7g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3055,@Evym-u3k,1 day ago,It’s through / His L❤VE / That your days / Are Bright as / The Sun☀ / Lokal ng Atok Gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxlRW9ti5hmnTs1dWl4AaABAg,UgxlRW9ti5hmnTs1dWl4AaABAg,UCNNZdfWg4Hutqdsq_H5oCHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3056,@Evym-u3k,1 day ago,"The world thinks your Lost, / But in His Love so Divine, / Our God Has  / Always your Back..” / ❤❤ / Lokal ng Atok Gold",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZ0P_yLiDNiiI5JTd4AaABAg,UgxZ0P_yLiDNiiI5JTd4AaABAg,UCNNZdfWg4Hutqdsq_H5oCHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3057,@Evym-u3k,1 day ago,😊 I / know / But I swear / It gets better…. / 😊lokal ng atok gold😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz3HBTgTWAkpCnePtx4AaABAg,Ugz3HBTgTWAkpCnePtx4AaABAg,UCNNZdfWg4Hutqdsq_H5oCHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3058,@Evym-u3k,1 day ago,❤Hold on / to your / Faith❤ / 😇😇😇 / 🇮🇹🇮🇹🇮🇹 / lokal ng atok gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwTxe7pZp_kDt0jGMN4AaABAg,UgwTxe7pZp_kDt0jGMN4AaABAg,UCNNZdfWg4Hutqdsq_H5oCHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3059,@Evym-u3k,1 day ago,watching po / 🎉🎉🎉 / INCMV / Kapisanang binhi / Lokal ng Atok Gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJaZ4cyK702CE-dK94AaABAg,UgwJaZ4cyK702CE-dK94AaABAg,UCNNZdfWg4Hutqdsq_H5oCHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3060,@Evym-u3k,1 day ago,hello everyone / always online / supporting our / God's Love / 💚🤍❤ / Lokal ng atok gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy141-JYNaeO86lkKZ4AaABAg,Ugy141-JYNaeO86lkKZ4AaABAg,UCNNZdfWg4Hutqdsq_H5oCHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3061,@relynkimpaoy,1 day ago,happy lunch po Sayatan Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyW9Ustcs9nDm7Rb314AaABAg,UgyW9Ustcs9nDm7Rb314AaABAg,UCeoxtZ2OnXmB3ybofdNpCmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3062,@ValentinBalmonte,1 day ago,Nice viewing po philex benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxb7pl-CgUJnFJP90p4AaABAg,Ugxb7pl-CgUJnFJP90p4AaABAg,UC3xoaoK2u01Wt-CTyQpm7Cg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3063,@SalveJhonDenver,1 day ago,"Happy Viewing po. / Go Benguet!! /  / Norcar, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxbJndHaKz-wAvYHuF4AaABAg,UgxbJndHaKz-wAvYHuF4AaABAg,UCCz-0V8tYUzIGT60zuscrQA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3064,@ShaveeManaod,1 day ago,"happy viewing po mula sa Local ng Norcar, Let's go Benguet!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwFtA7s3NlYjPUuG3J4AaABAg,UgwFtA7s3NlYjPUuG3J4AaABAg,UCqO67Uw2mOPFftGCSUZzgtg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3065,@ShaveeManaod,1 day ago,"happy viewing po mula sa Local ng Norcar, Let's go Benguet!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyvD2oaO9JXCwuYuJd4AaABAg,UgyvD2oaO9JXCwuYuJd4AaABAg,UCqO67Uw2mOPFftGCSUZzgtg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3066,@ShaveeManaod,1 day ago,happy viewing po mula sa Local ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZMQVzsSF016qRqVB4AaABAg,UgxZMQVzsSF016qRqVB4AaABAg,UCqO67Uw2mOPFftGCSUZzgtg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3067,@ShaveeManaod,1 day ago,happy viewing po mula sa Local ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMsnQumEJYGd6nKhB4AaABAg,UgwMsnQumEJYGd6nKhB4AaABAg,UCqO67Uw2mOPFftGCSUZzgtg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3068,@ShaveeManaod,1 day ago,happy viewing po mula sa Local ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxjCdUERqD8dTpU2vB4AaABAg,UgxjCdUERqD8dTpU2vB4AaABAg,UCqO67Uw2mOPFftGCSUZzgtg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3069,@ShaveeManaod,1 day ago,happy viewing po mula sa Local ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwjHxfuPfrqm_THEjl4AaABAg,UgwjHxfuPfrqm_THEjl4AaABAg,UCqO67Uw2mOPFftGCSUZzgtg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3070,@ShaveeManaod,1 day ago,"happy lunch po, mula sa lokal ng norcar",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzBsGUBH0DceFjjLQx4AaABAg,UgzBsGUBH0DceFjjLQx4AaABAg,UCqO67Uw2mOPFftGCSUZzgtg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3071,@Lxzaaaaa,1 day ago,"Let's go, Benguet!! the local of Atok Gold gives their unwavering support!❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyOey70oK-sP4k4B9x4AaABAg,UgyOey70oK-sP4k4B9x4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3072,@Lxzaaaaa,1 day ago,Happy lunch po sa ating lahat😊 happy viewing po mula sa Lokal ng Atok Gold💖,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxv--xigecQXwGPSOl4AaABAg,Ugxv--xigecQXwGPSOl4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3073,@Lxzaaaaa,1 day ago,"Let's go, Benguet!! the local of Atok Gold gives their unwavering support!❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzf5qj0CcstYSzXfeZ4AaABAg,Ugzf5qj0CcstYSzXfeZ4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3074,@JuliusBarrientos-h7t,1 day ago,Go benguet gods love nood npo at comment n mga kapatid .sarap mkipagkaisa🥰,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzVGNAWRbUoj52ib7J4AaABAg,UgzVGNAWRbUoj52ib7J4AaABAg,UCZLx_TATdO3weAvmQcZISBw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3075,@Lxzaaaaa,1 day ago,Happy lunch po sa ating lahat😊 happy viewing po mula sa Lokal ng Atok Gold💖,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzIXc_Y6IxtvjYfpfx4AaABAg,UgzIXc_Y6IxtvjYfpfx4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3076,@juliusbarrientos9957,1 day ago,Go go benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgykLszKMXtnWXrA7wJ4AaABAg,UgykLszKMXtnWXrA7wJ4AaABAg,UC9yAc_2anjqv7qG6J0BXtHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3077,@jesibeldasilag8102,1 day ago,"Go Baguio, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyLF1va37WdrVeyMVV4AaABAg,UgyLF1va37WdrVeyMVV4AaABAg,UCjgCGrc_KIvfJlbZAnczijg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3078,@jesibeldasilag8102,1 day ago,"Happy lunch everyone, mula po dto sa Baguio ❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxDNfmAtP8OK9QwE0d4AaABAg,UgxDNfmAtP8OK9QwE0d4AaABAg,UCjgCGrc_KIvfJlbZAnczijg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3079,@juliusbarrientos9957,1 day ago,Gods love. Benguet.❤❤❤baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw1VVJwuJHMWQCDB-B4AaABAg,Ugw1VVJwuJHMWQCDB-B4AaABAg,UC9yAc_2anjqv7qG6J0BXtHQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3080,@meriamdaniwis7940,1 day ago,Happy Viewing po...Lets go Benguet...,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw-nbOeVVLcmif0DLR4AaABAg,Ugw-nbOeVVLcmif0DLR4AaABAg,UCJd30xrIZSKtM-TXmHe02WQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3081,@danielsangalang4416,1 day ago,Kaisa po ang mga maytungkulin sa kapisanang KADIWA sa Lokal Ng Baguio City.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzdnMcaj6aLtBIDuJB4AaABAg,UgzdnMcaj6aLtBIDuJB4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3082,@danielsangalang4416,1 day ago,Benguet FIGTH!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwmEFRKUaeDeagyvCV4AaABAg,UgwmEFRKUaeDeagyvCV4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3083,@danielsangalang4416,1 day ago,Go Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwKHosYxgAV05T65lF4AaABAg,UgwKHosYxgAV05T65lF4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3084,@aizelfuchigami842,1 day ago,Fighting Benguet!  / Lokal ng Quezon Hill,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxTNGKWaNTLlgms_894AaABAg,UgxTNGKWaNTLlgms_894AaABAg,UCAxDQnCZxAvsB6YgYjSR1nQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3085,@danielsangalang4416,1 day ago,Happy watching po. /  / BAGUIO CITY,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx2fk_ZoVNXZHxwc_R4AaABAg,Ugx2fk_ZoVNXZHxwc_R4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3086,@akongapopalasipips,1 day ago,Tuloy tuloy pa din po ang pagsuporta sa ating magandang entry🤩,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwKmiuF_ulxUzlnlF14AaABAg,UgwKmiuF_ulxUzlnlF14AaABAg,UCQG0kuFYYfY_o7VPo6YOlgQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3087,@danielsangalang4416,1 day ago,Goo Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyO4nQ-SlK4r8qz5P94AaABAg,UgyO4nQ-SlK4r8qz5P94AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3088,@kristonleefuchigami3643,1 day ago,Happy viewing mula po sa Lokal ng Quezon Hill Distrito ng Benguet.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyuvMhY1DSDiwW7zhl4AaABAg,UgyuvMhY1DSDiwW7zhl4AaABAg,UCOZ4eM5oab1qQPoV6luV52w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3089,@luningningpescoso4921,1 day ago,Magandang tanghali po halina po at manood mula po sa Lokal Ng Lourdes Distrito Ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxt__DMceHAGqe7cj54AaABAg,Ugxt__DMceHAGqe7cj54AaABAg,UCNEFZJBC-8ZcT-q6hyiB7Dg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3090,@haielei2869,1 day ago,Happy pananghalian po mga Kabagis 🤗 / Greetings po mula sa mga binhi at ilaw Norcar 🤗🤗,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxgpVNaPSkeUs4Uj2t4AaABAg,UgxgpVNaPSkeUs4Uj2t4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3091,@haielei2869,1 day ago,Matutulog po tayo mamaya na TOP 1 ang BENGUET!  / LETS GO BENGUET / FIGHT FIGHT FIGHT / - From Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwCbSt8QTHrvBKdPbJ4AaABAg,UgwCbSt8QTHrvBKdPbJ4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3092,@haielei2869,1 day ago,Enjoy watching po. Happy pananghalian po sa ating Tagapamahalang Pangkalahatan Ka Eduardo V. Manalo at ang kanya pong buong sambahayan from Lokal ng Norcar po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxMojQ-NZyXOhZHUJd4AaABAg,UgxMojQ-NZyXOhZHUJd4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3093,@haielei2869,1 day ago,Pabati po sa atin pong II Tagapangasiwa Ka Ian Manalata at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx2iy65RsAjxeU3ePp4AaABAg,Ugx2iy65RsAjxeU3ePp4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3094,@haielei2869,1 day ago (edited),Enjoy watching po. Good afternoon po sa ating II Tagapamahalang Pangkalahatan Ka Angelo Eraño Manalo at ang kanila pong buong sambahayan from Lokal ng Norcar po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwplQtgi327PpP-jeh4AaABAg,UgwplQtgi327PpP-jeh4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3095,@akongapopalasipips,1 day ago,"Mula po sa kapisanang binhi, malugod pong nanonood mula diyo sa lokal ng Marcos Highway..",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyBAVTYxKIc8NaE7HR4AaABAg,UgyBAVTYxKIc8NaE7HR4AaABAg,UCQG0kuFYYfY_o7VPo6YOlgQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3096,@haielei2869,1 day ago,Enjoy watching po. Happy pananghalian po sa ating Tagapamahalang Pangkalahatan Ka Eduardo V. Manalo at ang kanya pong buong sambahayan from Lokal ng Norcar po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwab6kARzcu-ip2MAF4AaABAg,Ugwab6kARzcu-ip2MAF4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3097,@haielei2869,1 day ago,Enjoy watching po. Happy pananghalian po sa ating Tagapamahalang Pangkalahatan Ka Eduardo V. Manalo at ang kanya pong buong sambahayan from Lokal ng Norcar po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyJfNGqNEOkPmO-WIV4AaABAg,UgyJfNGqNEOkPmO-WIV4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3098,@haielei2869,1 day ago,Pabati po sa atin pong KSKP ng Distrito ang Kapatid na John Felix Dungan at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwEkhQS52tIHkXvii94AaABAg,UgwEkhQS52tIHkXvii94AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3099,@KASHUMIII和美,1 day ago,Happy lunch mula po sa Lokal Ng Quezon Hill Distrito Ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx205KD11QvkwCpg2x4AaABAg,Ugx205KD11QvkwCpg2x4AaABAg,UCbYjai8x68L62h_z_EBSXqw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3100,@aizelfuchigami842,1 day ago,Fighting Benguet! / Lokal ng Quezon Hill,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwLWloMirZqnsEG-o54AaABAg,UgwLWloMirZqnsEG-o54AaABAg,UCAxDQnCZxAvsB6YgYjSR1nQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3101,@akongapopalasipips,1 day ago,Happy lunch po mga kapatid... Happy viewing from lokal ng marcos highway.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyunNsGzkwCouqOYbd4AaABAg,UgyunNsGzkwCouqOYbd4AaABAg,UCQG0kuFYYfY_o7VPo6YOlgQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3102,@DionisioDaniwis,1 day ago,Nakaka aliw ang pag view mga kbgs,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgycUE0Uf6EiY8H1_LN4AaABAg,UgycUE0Uf6EiY8H1_LN4AaABAg,UC81uwKgxJfh2fp26YMvmruA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3103,@haielei2869,1 day ago,Pabati po sa atin pong II Tagapangasiwa Ka Ian Manalata at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzQRGi1ZmcdJBqef8F4AaABAg,UgzQRGi1ZmcdJBqef8F4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3104,@aizelfuchigami842,1 day ago,Go Benguet! / Lokal ng Quezon Hill,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzjBCZXH8H7UtmDArJ4AaABAg,UgzjBCZXH8H7UtmDArJ4AaABAg,UCAxDQnCZxAvsB6YgYjSR1nQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3105,@haielei2869,1 day ago,Pabati po sa atin pong II Tagapangasiwa Ka Ian Manalata at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyqcdEiO6lW4UrLHsJ4AaABAg,UgyqcdEiO6lW4UrLHsJ4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3106,@aizelfuchigami842,1 day ago,Happy lunch Happy viewing po mula sa Lokal ng Quezon Hill Distrito ng Benguet. 🇮🇹🎼🎵🎶,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz58pM7Y15QpwMMgUl4AaABAg,Ugz58pM7Y15QpwMMgUl4AaABAg,UCAxDQnCZxAvsB6YgYjSR1nQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3107,@haielei2869,1 day ago,Magandang Tanghali po mga Kapatid. Pabati po sa amin pong Tagapangasiwa ng Distrito ang Kapatid na Ardy Mendoza at sa kanya pong buong sambahayan mula po sa Lokal ng Norcar Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzxoDB-hXOgQ6f3Cl14AaABAg,UgzxoDB-hXOgQ6f3Cl14AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3108,@akongapopalasipips,1 day ago,Happy watching from Lokal ng Marcos Highway po...,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx-qZ6sVO48GoMuPWp4AaABAg,Ugx-qZ6sVO48GoMuPWp4AaABAg,UCQG0kuFYYfY_o7VPo6YOlgQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3109,@haielei2869,1 day ago,Matutulog po tayo mamaya na TOP 1 ang BENGUET!  / LETS GO BENGUET / FIGHT FIGHT FIGHT / - From Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx8pA8DqjMg_8ZxS014AaABAg,Ugx8pA8DqjMg_8ZxS014AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
